title_id,title_type,primary_title,original_title,year,runtime_minutes,genres,country
tt0051209,movie,Battle Hell,Yangtse Incident: The Story of H.M.S. Amethyst,1957,113,"Drama,History,War",UK
tt0051213,movie,The Young Don't Cry,The Young Don't Cry,1957,89,"Crime,Drama,Thriller",USA
tt0051214,movie,The Young Stranger,The Young Stranger,1957,84,Drama,USA
tt0051217,movie,Snow Country,Yukiguni,1957,133,"Drama,Romance",Japan
tt0051219,movie,Zarak,Zarak,1956,99,"Action,Adventure,Romance","UK, USA"
tt0051221,movie,Zero Hour!,Zero Hour!,1957,81,"Action,Adventure,Drama",USA
tt0051226,movie,Zombies of Mora Tau,Zombies of Mora Tau,1957,70,"Action,Adventure,Fantasy",USA
tt0051235,movie,The Affairs of Julie,Die Zürcher Verlobung,1957,106,Comedy,West Germany
tt0051237,movie,The Man Who Wagged His Tail,Un angelo è sceso a Brooklyn,1957,90,"Comedy,Fantasy","Italy, Spain"
tt0051241,movie,Åsa-Nisse i full fart,Åsa-Nisse i full fart,1957,98,Comedy,Sweden
tt0051246,movie,The Last Torch Song,El último cuplé,1957,110,"Drama,Musical",Spain
tt0051336,movie,Six-Five Special,Six-Five Special,1958,85,Musical,UK
tt0051337,movie,The 7th Voyage of Sinbad,The 7th Voyage of Sinbad,1958,88,"Action,Adventure,Family",USA
tt0051343,movie,Pathetic Fallacy,Ajantrik,1958,102,Drama,India
tt0051346,movie,Alive and Kicking,Alive and Kicking,1958,94,Comedy,UK
tt0051349,movie,Ambush at Cimarron Pass,Ambush at Cimarron Pass,1958,73,Western,USA
tt0051358,movie,A Stranger in My Arms,A Stranger in My Arms,1959,88,"Drama,Romance,War",USA
tt0051360,movie,Andy Hardy Comes Home,Andy Hardy Comes Home,1958,80,Comedy,USA
tt0051361,movie,Underworld Beauty,Ankokugai no bijo,1958,87,"Crime,Drama,Thriller",Japan
tt0051362,movie,Anna Lucasta,Anna Lucasta,1958,97,Drama,USA
tt0051363,movie,Fast and Sexy,Anna di Brooklyn,1958,105,"Comedy,Romance","Italy, France"
tt0051364,movie,"Another Time, Another Place","Another Time, Another Place",1958,91,"Drama,Romance,War",UK
tt0051365,movie,The Magician,Ansiktet,1958,101,"Comedy,Drama",Sweden
tt0051367,movie,Anzukko,Anzukko,1958,110,Drama,Japan
tt0051369,movie,Apache Territory,Apache Territory,1958,71,"Action,Western",USA
tt0051370,movie,Appointment with a Shadow,Appointment with a Shadow,1957,72,"Crime,Drama,Film-Noir",USA
tt0051376,movie,The Doctor of Stalingrad,Der Arzt von Stalingrad,1958,110,"Drama,Romance,War",West Germany
tt0051378,movie,Elevator to the Gallows,Ascenseur pour l'échafaud,1958,91,"Crime,Drama,Thriller",France
tt0051380,movie,Attack of the 50 Foot Woman,Attack of the 50 Foot Woman,1958,65,"Horror,Sci-Fi",USA
tt0051381,movie,Attack of the Puppet People,Attack of the Puppet People,1958,79,"Horror,Sci-Fi",USA
tt0051383,movie,Auntie Mame,Auntie Mame,1958,143,"Comedy,Drama,Romance",USA
tt0051390,movie,Cairo Station,Bab el hadid,1958,77,"Crime,Drama",Egypt
tt0051391,movie,Bachelor of Hearts,Bachelor of Hearts,1958,94,Comedy,UK
